Group,Type,Xaxis,RelativeAbundAve,RelativeAbundLow,RelativeAbundUp
Group 1,TSF,0,0.2,0,0.5
Group 1,TSF,1,0.75,0.2,1
Group 1,TSF,2,0.83,0.4,1
Group 1,TSF,3,0.88,0.6,1
Group 1,TSF,4,0.93,0.8,1
Group 1,TSF,5,0.98,0.78,1
Group 1,TSF,6,0.99,0.75,1
Group 1,TSF,8,0.95,0.73,1
Group 1,TSF,10,0.9,0.7,1
Group 1,TSF,12,0.88,0.68,0.98
Group 1,TSF,16,0.85,0.67,0.95
Group 1,TSF,20,0.83,0.65,0.93
Group 1,TSF,24,0.8,0.63,0.9
Group 1,TSF,28,0.78,0.6,0.88
Group 1,TSF,32,0.75,0.58,0.85
Group 1,TSF,36,0.7,0.56,0.83
Group 1,TSF,40,0.65,0.52,0.8
Group 2,TSF,0,0.2,0,0.25
Group 2,TSF,1,0.5,0,0.55
Group 2,TSF,2,0.6,0.2,0.65
Group 2,TSF,3,0.65,0.24,0.7
Group 2,TSF,4,0.7,0.26,0.75
Group 2,TSF,5,0.71,0.28,0.76
Group 2,TSF,6,0.72,0.3,0.77
Group 2,TSF,8,0.73,0.32,0.78
Group 2,TSF,10,0.74,0.34,0.79
Group 2,TSF,12,0.75,0.36,0.8
Group 2,TSF,16,0.76,0.38,0.81
Group 2,TSF,20,0.77,0.4,0.85
Group 2,TSF,24,0.78,0.42,0.95
Group 2,TSF,28,0.79,0.44,0.99
Group 2,TSF,32,0.8,0.46,1
Group 2,TSF,36,0.81,0.48,1
Group 2,TSF,40,0.82,0.5,1
Group 3,TSF,0,0.2,0,0.5
Group 3,TSF,1,0.7,0.2,0.8
Group 3,TSF,2,0.8,0.5,1
Group 3,TSF,3,0.95,0.65,1
Group 3,TSF,4,0.99,0.75,1
Group 3,TSF,5,0.95,0.73,1
Group 3,TSF,6,0.85,0.68,1
Group 3,TSF,8,0.8,0.6,1
Group 3,TSF,10,0.7,0.55,1
Group 3,TSF,12,0.65,0.5,0.98
Group 3,TSF,16,0.6,0.4,0.95
Group 3,TSF,20,0.55,0.3,0.88
Group 3,TSF,24,0.5,0.2,0.8
Group 3,TSF,28,0.4,0.1,0.7
Group 3,TSF,32,0.3,0,0.6
Group 3,TSF,36,0.2,0,0.55
Group 3,TSF,40,0.1,0,0.5
Group 4,TSF,0,0.1,0,0.4
Group 4,TSF,1,0.28,0,0.42
Group 4,TSF,2,0.3,0,0.44
Group 4,TSF,3,0.32,0,0.46
Group 4,TSF,4,0.34,0,0.48
Group 4,TSF,5,0.36,0,0.5
Group 4,TSF,6,0.38,0,0.52
Group 4,TSF,8,0.4,0,0.54
Group 4,TSF,10,0.42,0,0.56
Group 4,TSF,12,0.44,0,0.58
Group 4,TSF,16,0.46,0.025,0.6
